from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
1762989548,9857786696,5.88,residential,30,0
1762989548,267196316,8.16,residential,30,0
267196316,1762989548,8.16,residential,30,0
267196316,9857786697,26.35,residential,30,0
9857786697,267196316,26.35,residential,30,0
9857786697,9857786698,6.29,residential,30,0
9857786698,9857786697,6.29,residential,30,0
9857786698,9857786699,4.33,residential,30,0
9857786699,9857786698,4.33,residential,30,0
9857786699,9857786700,4.29,residential,30,0
9857786700,9857786699,4.29,residential,30,0
9857786700,267196317,5.12,residential,30,0
267196317,9857786700,5.12,residential,30,0
267196317,10255043815,23.90,residential,30,0
10255043815,267196317,23.90,residential,30,0
10255043815,10255038999,31.07,residential,30,0
10255038999,10255043815,31.07,residential,30,0
10255038999,10255038998,16.99,residential,30,0
10255038998,10255038999,16.99,residential,30,0
10255038998,267196318,111.61,residential,30,0
267196318,10255038998,111.61,residential,30,0
267196318,9857786701,8.17,residential,30,0
9857786701,267196318,8.17,residential,30,0
9857786701,9857786702,7.14,residential,30,0
9857786702,9857786701,7.14,residential,30,0
9857786702,6702699473,48.64,residential,30,0
6702699473,9857786702,48.64,residential,30,0
6702699473,267196319,8.44,residential,30,0
267196319,6702699473,8.44,residential,30,0
2729066799,10264552815,124.47,service,20,0
10264552815,2729066799,124.47,service,20,0
10264552815,10264552819,4.44,service,20,0
10264552819,10264552815,4.44,service,20,0
5483954472,5484083825,12.79,secondary,60,1
5484083825,5484083824,8.41,secondary,60,1
5484083824,12105998307,8.29,secondary,60,1
12105998307,3749161008,16.13,secondary,60,1
267197887,6666318667,20.13,secondary,60,1
6666318667,267197900,14.02,secondary,60,1
267197900,6666318665,6.49,secondary,60,1
6666318665,6666318664,17.17,secondary,60,1
6666318664,6666318663,76.59,secondary,60,1
6666318663,11816192467,121.69,secondary,60,1
11816192467,6666318660,6.38,secondary,60,1
6666318660,6666318661,3.45,secondary,60,1
6666318661,6666318662,10.09,secondary,60,1
5809063053,7782913600,3.48,secondary,60,1
7782913600,6666318676,2.05,secondary,60,1
6666318676,6666318675,2.88,secondary,60,1
6666318675,6666318674,5.77,secondary,60,1
6666318674,11816192466,2.77,secondary,60,1
11816192466,6666318673,10.43,secondary,60,1
6666318673,6666318672,40.36,secondary,60,1
6666318672,6666318671,57.97,secondary,60,1
6666318671,6666318670,48.29,secondary,60,1
6666318670,6666318669,41.28,secondary,60,1
6666318669,6666318666,23.66,secondary,60,1
6666318666,6666318668,17.44,secondary,60,1
6666318668,7086574340,8.77,secondary,60,1
7086574340,267197888,7.60,secondary,60,1
621248448,6657547777,7.87,secondary,60,1
6657547777,6657547776,7.05,secondary,60,1
6657547776,6657547775,15.64,secondary,60,1
6657547775,267196324,27.32,secondary,60,1
267196324,3745742010,149.31,secondary,60,1
3745742010,7223061599,58.86,secondary,60,1
7223061599,7223061596,26.75,secondary,60,1
7223061596,7223061595,35.07,secondary,60,1
