+id,lat,lon
267259323,28.622902,77.2031722
267259324,28.6228578,77.203068
267259325,28.6224919,77.2028099
267259326,28.6176147,77.1997019
267259327,28.6229848,77.2000229
267259328,28.6172874,77.2056356
267259329,28.6174445,77.2020176
267259330,28.6171431,77.2056789
267259331,28.6170809,77.2057266
267259332,28.6169952,77.2058531
267259333,28.6169715,77.2059288
267259334,28.6169622,77.2060084
267259359,28.6169876,77.2061656
267259371,28.6170669,77.2062973
267259376,28.6172496,77.2063987
267259390,28.6175105,77.2063177
267259403,28.6176347,77.206066
267259409,28.6176298,77.205941
267259410,28.617595,77.2058344
267259411,28.6174531,77.2056781
267259412,28.6176025,77.2061855
267259413,28.6160046,77.2056596
267259414,28.6159707,77.2061895
267259415,28.6161311,77.2029328
267259416,28.6160426,77.204703
267259417,28.6173168,77.2047515
267259418,28.6159306,77.2071375
267259419,28.6162412,77.2073608
267259422,28.6166441,77.2071596
267259425,28.6161743,77.207958
267259426,28.6188281,77.2018264
267259427,28.6186244,77.2018176
267259428,28.6185336,77.2018842
267259429,28.6184347,77.2020879
267259430,28.6184202,77.2022781
267259431,28.6184908,77.2023741
267259432,28.6187206,77.2024272
267259433,28.6173967,77.2029348
267259434,28.6183691,77.2029748
267259435,28.6189235,77.2027168
267259436,28.6206392,77.2037128
267259438,28.6203376,77.2031083
267259439,28.6204645,77.2030043
267259440,28.6206159,77.2029795
267259441,28.6207671,77.2030414
267259442,28.6208685,77.203167
267259443,28.6209098,77.2033387
267259444,28.6208733,77.2035186
267259445,28.6207818,77.2036424
267259446,28.6204312,77.2036739
267259447,28.6203272,77.203573
267259448,28.6202698,77.2034371
267259449,28.6202741,77.2032411
267259450,28.619369,77.2018638
267259451,28.6193985,77.202404
267259452,28.6220933,77.2025294
267259453,28.6175108,77.2007431
267259454,28.6204308,77.2009167
267259455,28.6234454,77.2011279
267259456,28.6234398,77.2004461
267259457,28.6215832,77.2003195
267259458,28.6204529,77.2002615
267259459,28.6175639,77.1998284
267259460,28.6204528,77.1998784
267259461,28.6215969,77.1999499
267259465,28.6216269,77.200685
267259466,28.621931,77.2006988
267259467,28.6219814,77.2003512
267259470,28.6234629,77.1996602
267259474,28.623541,77.1994779
267259475,28.623563,77.199284
267259476,28.6235559,77.1990465
267259478,28.6216156,77.1995969
267259479,28.6176323,77.1993242
267259480,28.6176555,77.1986494
267259481,28.6232078,77.1989422
267259482,28.6234473,77.1987911
267259483,28.6225277,77.1989429
267259484,28.6225008,77.1996273
267259485,28.6224866,77.2000055
267259486,28.6224713,77.2003799
267259487,28.6224444,77.2010685
267259488,28.6177002,77.1981178
267259489,28.6204609,77.1995267
267259490,28.6204787,77.1988361
267259921,28.6177554,77.1972022
267259923,28.617902,77.1972547
267259924,28.6179912,77.1973428
267259925,28.6180574,77.1974929
267259926,28.6180638,77.1976493
267259928,28.6180158,77.197796
267259929,28.6179275,77.1979041
267259930,28.6177808,77.1979691
267259931,28.6176389,77.1979666
267259932,28.6175096,77.1978922
267259933,28.617419,77.1977635
267259936,28.6173859,77.1976409
267259942,28.6173895,77.1975127
267259944,28.6174294,77.1973927
267259945,28.6176377,77.1972119
267259946,28.6179235,77.1933804
267259947,28.6178168,77.1954832
267259948,28.6185477,77.1955763
267259949,28.6188817,77.1959553
267259950,28.6209183,77.1947462
267259951,28.6182146,77.1973069
267259952,28.620474,77.1960199
267259953,28.6204361,77.1958811
267259954,28.6204674,77.1957402
267259955,28.6206829,77.1956059
267259956,28.6208039,77.195652
267259957,28.6208861,77.1957632
267259958,28.6209064,77.1958935
267259959,28.6208696,77.1960191
267259960,28.620672,77.1961422
267259961,28.6205593,77.1961097
267259962,28.6187192,77.1983266
267259963,28.6189726,77.1983546
267259964,28.6189606,77.1962896
267259965,28.6191632,77.196728
