src,dst
4156355792,267259331
267259331,267259330
267259330,4156355793
267259413,267259331
11290113781,267259416
267259416,267259415
267259416,267259417
8757909136,267259425
267259425,10264552849
10264552849,943560306
943560306,943560217
943560217,267259422
267259422,8757909138
9798407617,6776599578
6776599578,10264672409
10264672409,10264672411
10264672411,267259414
1368046431,10869887105
10869887105,10264555456
10264555456,9843742112
9843742112,10264552828
10264552828,10264552835
10264552835,6773338028
267259433,5561975424
5561975424,3644433262
3644433262,3644433272
3644433272,267259434
267259434,9843555984
9843555984,267259435
267259436,6436821127
267259438,267259439
267259439,267259440
267259440,267259441
267259441,267259442
267259442,267259443
267259443,267259444
267259444,267259445
267259445,267259436
267259436,621248443
621248443,267259446
267259446,267259447
267259447,267259448
267259448,621248444
621248444,267259449
267259449,267259438
267259450,9843555986
9843555986,9843555985
9843555985,267259451
267259451,6720378879
6720378879,267259438
267259442,267259452
267259452,9843555982
9843555982,9843555983
9843555983,267259325
5561975421,9843537004
9843537004,9843536994
9843536994,9843536997
9843536997,11804686765
11804686765,11804686764
267259327,1271972167
1271972167,267259456
